gl_id,entry_date,account,amount_str,reference
GL-BATCH0011-FEE,2026-08-02,RAZORPAY-FEE,-546.75,BATCH0011
GL-BATCH0011-GST,2026-08-02,Input GST/Fees,INR -98.43,BATCH0011
GL-BATCH0012-SR,2026-08-15,Sales Revenue,"₹ 35,237.95",BATCH0012
GL-BATCH0012-FEE,2026-08-15,RAZORPAY-FEE,-704.76,BATCH0012
GL-BATCH0012-GST,2026-08-15,GST-INPUT,-126.85,BATCH0012
GL-BATCH0013-SR,2026-08-08,Sales Revenue,"₹43,225.42",BATCH0013
GL-BATCH0013-FEE,2026-08-08,Payment Gateway Fee,₹ -864.51,BATCH0013
GL-BATCH0013-GST,2026-08-08,GST : Fees,-155.61,BATCH0013
GL-BATCH0014-SR,2026-08-04,Revenue - Sales,"INR 94,861.84",BATCH0014
GL-BATCH0014-FEE,2026-08-04,Razorpay Fees,"₹ -1,897.23",BATCH0014
GL-BATCH0014-GST,2026-08-04,GST on Fees (Input Credit),INR -341.50,BATCH0014
GL-BATCH0015-SR,2026-08-03,Sales/Online,"₹ 32,152.39",BATCH0015
GL-BATCH0015-FEE,2026-08-03,Fees:Razorpay,-643.05,BATCH0015
GL-BATCH0015-GST,2026-08-03,GST : Fees,INR -115.75,BATCH0015
GL-BATCH0016-SR,2026-08-07,Online Sales:Retail,"₹ 39,209.39",BATCH0016
GL-BATCH0016-FEE,2026-08-07,Fees:Razorpay,-784.18,BATCH0016
GL-BATCH0016-GST,2026-08-07,GST-INPUT,INR -141.14,BATCH0016
GL-BATCH0017-SR,2026-08-05,Revenue - Sales,26667.90,BATCH0017
GL-BATCH0017-FEE,2026-08-05,Payment Gateway Fee,₹-533.35,BATCH0017
GL-BATCH0017-GST,2026-08-05,GST : Fees,INR -96.01,BATCH0017
GL-BATCH0018-SR,2026-08-04,Revenue - Sales,"41,648.01",BATCH0018
GL-BATCH0018-FEE,2026-08-04,Razorpay Fees,-832.96,BATCH0018
GL-BATCH0018-GST,2026-08-04,GST : Fees,-149.91,BATCH0018
GL-BATCH0019-SR,2026-08-09,SALES-ONLINE,"32,957.58",BATCH0019
GL-BATCH0019-FEE,2026-08-09,Fees:Razorpay,INR -659.16,BATCH0019
GL-BATCH0019-GST,2026-08-09,GST : Fees,₹ -118.65,BATCH0019
GL-BATCH0020-SR,2026-08-05,Sales : Online,62500.16,BATCH0020
GL-BATCH0020-FEE,2026-08-05,Fees:Razorpay,"₹ -1,250.01",BATCH0020
GL-BATCH0020-GST,2026-08-05,Input GST/Fees,₹-225.00,BATCH0020
GL-BATCH0021-SR,2026-08-02,Sales/Online,"INR 42,463.54",BATCH0021
GL-BATCH0021-FEE,2026-08-02,Fees:Razorpay,INR -849.29,BATCH0021
GL-BATCH0021-GST,2026-08-02,GST-INPUT,INR -152.87,BATCH0021
GL-BATCH0022-SR,2026-08-06,Sales : Online,73712.98,BATCH0022
GL-BATCH0022-FEE,2026-08-06,RAZORPAY-FEE,"₹-1,474.26",BATCH0022
GL-BATCH0022-GST,2026-08-06,Input GST/Fees,₹-265.37,BATCH0022
GL-BATCH0023-SR,2026-08-04,Sales : Online,"INR 37,445.29",BATCH0023
GL-BATCH0023-FEE,2026-08-04,Payment Gateway Fee,₹-748.91,BATCH0023
GL-BATCH0023-GST,2026-08-04,Input GST/Fees,-134.80,BATCH0023
GL-BATCH0024-SR,2026-08-05,Online Sales:Retail,"₹68,679.74",BATCH0024
GL-BATCH0024-FEE,2026-08-05,RAZORPAY-FEE,-1373.59,BATCH0024
GL-BATCH0024-GST,2026-08-05,Input GST/Fees,-247.24,BATCH0024
GL-BATCH0025-SR,2026-08-02,Sales/Online,"INR 25,588.68",BATCH0025
GL-BATCH0025-FEE,2026-08-02,Razorpay Fees,-511.77,BATCH0025
GL-BATCH0025-GST,2026-08-02,GST on Fees (Input Credit),₹ -92.13,BATCH0025
GL-BATCH0026-SR,2026-08-07,Sales/Online,"12,667.21",BATCH0026
GL-BATCH0026-FEE,2026-08-07,Payment Gateway Fee,₹-253.34,BATCH0026
GL-BATCH0026-GST,2026-08-07,Input GST/Fees,₹-45.61,BATCH0026
GL-BATCH0027-SR,2026-08-08,Sales/Online,"₹68,242.68",BATCH0027
GL-BATCH0027-FEE,2026-08-08,Fees:Razorpay,"₹ -1,364.85",BATCH0027
GL-BATCH0027-GST,2026-08-08,GST : Fees,₹-245.67,BATCH0027
GL-BATCH0028-SR,2026-08-04,Sales Revenue,"56,648.77",BATCH0028
GL-BATCH0028-FEE,2026-08-04,RAZORPAY-FEE,"-1,132.97",BATCH0028
GL-BATCH0028-GST,2026-08-04,Input GST/Fees,₹ -203.94,BATCH0028
GL-BATCH0029-SR,2026-08-06,Revenue - Sales,"INR 37,321.81",BATCH0029
GL-BATCH0029-FEE,2026-08-06,Payment Gateway Fee,₹ -746.44,BATCH0029
GL-BATCH0029-GST,2026-08-06,GST-INPUT,₹-134.37,BATCH0029
GL-BATCH0030-SR,2026-08-07,Online Sales:Retail,86246.20,BATCH0030
GL-BATCH0030-FEE,2026-08-07,Payment Gateway Fee,"INR -1,724.92",BATCH0030
GL-BATCH0030-GST,2026-08-07,GST-INPUT,₹ -310.49,BATCH0030
GL-BATCH0031-SR,2026-08-05,SALES-ONLINE,"₹55,234.40",BATCH0031
GL-BATCH0031-FEE,2026-08-05,Fees:Razorpay,"-1,104.69",BATCH0031
GL-BATCH0031-GST,2026-08-05,GST-INPUT,₹-198.85,BATCH0031
GL-BATCH0032-SR,2026-08-08,SALES-ONLINE,"INR 49,517.82",BATCH0032
GL-BATCH0032-FEE,2026-08-08,RAZORPAY-FEE,INR -990.35,BATCH0032
GL-BATCH0032-GST,2026-08-08,GST : Fees,₹ -178.26,BATCH0032
GL-BATCH0033-SR,2026-08-02,Online Sales:Retail,"₹39,262.18",BATCH0033
GL-BATCH0033-FEE,2026-08-02,Payment Gateway Fee,INR -785.24,BATCH0033
GL-BATCH0033-GST,2026-08-02,GST : Fees,-141.33,BATCH0033
GL-BATCH0034-SR,2026-08-03,Sales/Online,"32,298.86",BATCH0034
GL-BATCH0034-FEE,2026-08-03,Razorpay Fees,INR -645.98,BATCH0034
GL-BATCH0034-GST,2026-08-03,GST : Fees,₹-116.28,BATCH0034
GL-BATCH0035-SR,2026-08-02,Sales/Online,"₹45,438.43",BATCH0035
GL-BATCH0035-FEE,2026-08-02,Fees:Razorpay,-908.77,BATCH0035
GL-BATCH0035-GST,2026-08-02,GST-INPUT,-163.58,BATCH0035
GL-BATCH0036-SR,2026-08-01,SALES-ONLINE,"₹ 51,805.75",BATCH0036
GL-BATCH0036-FEE,2026-08-01,Payment Gateway Fee,-1036.13,BATCH0036
GL-BATCH0036-GST,2026-08-01,GST : Fees,₹ -186.50,BATCH0036
GL-BATCH0037-SR,2026-08-02,Sales/Online,"₹61,258.83",BATCH0037
GL-BATCH0037-FEE,2026-08-02,RAZORPAY-FEE,"INR -1,225.18",BATCH0037
GL-BATCH0037-GST,2026-08-02,GST on Fees (Input Credit),-220.53,BATCH0037
GL-BATCH0038-SR,2026-08-06,Sales Revenue,"30,395.78",BATCH0038
GL-BATCH0038-FEE,2026-08-06,RAZORPAY-FEE,INR -607.91,BATCH0038
GL-BATCH0038-GST,2026-08-06,GST-INPUT,₹ -109.43,BATCH0038
GL-BATCH0039-SR,2026-08-04,Revenue - Sales,"62,202.22",BATCH0039
GL-BATCH0039-FEE,2026-08-04,RAZORPAY-FEE,"₹ -1,244.04",BATCH0039
GL-BATCH0039-GST,2026-08-04,GST : Fees,INR -223.92,BATCH0039
GL-BATCH0040-SR,2026-08-02,SALES-ONLINE,"16,626.35",BATCH0040
GL-BATCH0040-FEE,2026-08-02,Razorpay Fees,INR -332.52,BATCH0040
GL-BATCH0040-GST,2026-08-02,GST on Fees (Input Credit),₹ -59.85,BATCH0040
GL-BATCH0041-SR,2026-08-03,Sales/Online,"INR 21,601.07",BATCH0041
GL-BATCH0041-FEE,2026-08-03,RAZORPAY-FEE,₹-432.02,BATCH0041
GL-BATCH0041-GST,2026-08-03,Input GST/Fees,₹-77.76,BATCH0041
GL-BATCH0042-SR,2026-08-06,Revenue - Sales,"₹15,106.92",BATCH0042
GL-BATCH0042-FEE,2026-08-06,Fees:Razorpay,-302.14,BATCH0042
GL-BATCH0042-GST,2026-08-06,GST : Fees,-54.39,BATCH0042
