settlement_id,order_id,settled_date,gross_amount,razorpay_fee,gst_on_fee,net_amount,is_partial_hold,hold_reason
SETT-BATCH0012-ORD00068,ORD00068,2026-08-15,18565.65,371.31,66.84,18127.5,False,
SETT-BATCH0012-ORD00069,ORD00069,2026-08-15,1209.46,24.19,4.35,1180.92,False,
SETT-BATCH0012-ORD00070,ORD00070,2026-08-15,645.4,12.91,2.32,630.17,False,
SETT-BATCH0012-ORD00071,ORD00071,2026-08-15,1116.65,22.33,4.02,1090.3,False,
SETT-BATCH0012-ORD00072,ORD00072,2026-08-15,7386.92,147.74,26.59,7212.59,False,
SETT-BATCH0013-ORD00073,ORD00073,2026-08-08,1103.93,22.08,3.97,1077.88,False,
SETT-BATCH0013-ORD00074,ORD00074,2026-08-08,11639.04,232.78,41.9,11364.36,False,
SETT-BATCH0013-ORD00075,ORD00075,2026-08-08,1172.92,23.46,4.22,1145.24,False,
SETT-BATCH0013-ORD00076,ORD00076,2026-08-08,1193.94,23.88,4.3,1165.76,False,
SETT-BATCH0013-ORD00077,ORD00077,2026-08-08,16646.96,332.94,59.93,16254.09,False,
SETT-BATCH0013-ORD00078,ORD00078,2026-08-08,11468.63,229.37,41.29,11197.97,False,
SETT-BATCH0014-ORD00079,ORD00079,2026-08-04,45900.69,918.01,165.24,44817.44,False,
SETT-BATCH0014-ORD00080,ORD00080,2026-08-04,22730.44,454.61,81.83,22194.0,False,
SETT-BATCH0014-ORD00081,ORD00081,2026-08-04,5850.87,117.02,21.06,5712.79,False,
SETT-BATCH0014-ORD00082,ORD00082,2026-08-04,2469.08,49.38,8.89,2410.81,False,
SETT-BATCH0014-ORD00083,ORD00083,2026-08-04,1085.63,21.71,3.91,1060.01,False,
SETT-BATCH0014-ORD00084,ORD00084,2026-08-04,16825.13,336.5,60.57,16428.06,False,
SETT-BATCH0015-ORD00085,ORD00085,2026-08-03,7844.04,156.88,28.24,7658.92,False,
SETT-BATCH0015-ORD00086,ORD00086,2026-08-03,7747.27,154.95,27.89,7564.43,False,
SETT-BATCH0015-ORD00087,ORD00087,2026-08-03,826.55,16.53,2.98,807.04,False,
SETT-BATCH0015-ORD00088,ORD00088,2026-08-03,6337.56,126.75,22.81,6188.0,False,
SETT-BATCH0015-ORD00089,ORD00089,2026-08-03,575.21,11.5,2.07,561.64,False,
SETT-BATCH0015-ORD00090,ORD00090,2026-08-03,8821.76,176.44,31.76,8613.56,False,
SETT-BATCH0016-ORD00091,ORD00091,2026-08-07,1261.74,25.23,4.54,1231.97,False,
SETT-BATCH0016-ORD00092,ORD00092,2026-08-07,1392.55,27.85,5.01,1359.69,False,
SETT-BATCH0016-ORD00093,ORD00093,2026-08-07,16056.63,321.13,57.8,15677.7,False,
SETT-BATCH0016-ORD00094,ORD00094,2026-08-07,13693.23,273.86,49.29,13370.08,False,
SETT-BATCH0016-ORD00095,ORD00095,2026-08-07,622.98,12.46,2.24,608.28,False,
SETT-BATCH0016-ORD00096,ORD00096,2026-08-07,6182.26,123.65,22.26,6036.35,False,
SETT-BATCH0017-ORD00097,ORD00097,2026-08-05,1504.59,30.09,5.42,1469.08,False,
SETT-BATCH0017-ORD00098,ORD00098,2026-08-05,1093.68,21.87,3.94,1067.87,False,
SETT-BATCH0017-ORD00099,ORD00099,2026-08-05,5657.8,113.16,20.37,5524.27,False,
SETT-BATCH0017-ORD00100,ORD00100,2026-08-05,11088.15,221.76,39.92,10826.47,False,
SETT-BATCH0017-ORD00101,ORD00101,2026-08-05,6503.95,130.08,23.41,6350.46,False,
SETT-BATCH0017-ORD00102,ORD00102,2026-08-05,819.73,16.39,2.95,800.39,False,
SETT-BATCH0018-ORD00103,ORD00103,2026-08-04,1023.51,20.47,3.68,999.36,False,
SETT-BATCH0018-ORD00104,ORD00104,2026-08-04,15542.91,310.86,55.95,15176.1,False,
SETT-BATCH0018-ORD00105,ORD00105,2026-08-04,6345.74,126.91,22.84,6195.99,False,
SETT-BATCH0018-ORD00106,ORD00106,2026-08-04,9897.86,197.96,35.63,9664.27,False,
SETT-BATCH0018-ORD00107,ORD00107,2026-08-04,7342.91,146.86,26.43,7169.62,False,
SETT-BATCH0018-ORD00108,ORD00108,2026-08-04,1495.08,29.9,5.38,1459.8,False,
SETT-BATCH0019-ORD00109,ORD00109,2026-08-09,13966.99,279.34,50.28,13637.37,False,
SETT-BATCH0019-ORD00110,ORD00110,2026-08-09,1329.84,26.6,4.79,1298.45,False,
SETT-BATCH0019-ORD00111,ORD00111,2026-08-09,815.94,16.32,2.94,796.68,False,
SETT-BATCH0019-ORD00112,ORD00112,2026-08-09,1451.36,29.03,5.23,1417.1,False,
SETT-BATCH0019-ORD00113,ORD00113,2026-08-09,4008.97,80.18,14.43,3914.36,False,
SETT-BATCH0019-ORD00114,ORD00114,2026-08-09,11384.48,227.69,40.98,11115.81,False,
SETT-BATCH0020-ORD00115,ORD00115,2026-08-05,10661.3,213.23,38.38,10409.69,False,
SETT-BATCH0020-ORD00116,ORD00116,2026-08-05,19556.7,391.13,70.4,19095.17,False,
SETT-BATCH0020-ORD00117,ORD00117,2026-08-05,1162.75,23.25,4.18,1135.32,False,
SETT-BATCH0020-ORD00118,ORD00118,2026-08-05,2077.36,41.55,7.48,2028.33,False,
SETT-BATCH0020-ORD00119,ORD00119,2026-08-05,20365.29,407.31,73.32,19884.66,False,
SETT-BATCH0020-ORD00120,ORD00120,2026-08-05,8676.76,173.54,31.24,8471.98,False,
SETT-BATCH0021-ORD00121,ORD00121,2026-08-02,5438.29,108.77,19.58,5309.94,False,
SETT-BATCH0021-ORD00122,ORD00122,2026-08-02,1848.47,36.97,6.65,1804.85,False,
SETT-BATCH0021-ORD00123,ORD00123,2026-08-02,25997.37,519.95,93.59,25383.83,False,
SETT-BATCH0021-ORD00124,ORD00124,2026-08-02,874.29,17.49,3.15,853.65,False,
SETT-BATCH0021-ORD00125,ORD00125,2026-08-02,1339.83,26.8,4.82,1308.21,False,
SETT-BATCH0021-ORD00126,ORD00126,2026-08-02,6965.29,139.31,25.08,6800.9,False,
SETT-BATCH0022-ORD00127,ORD00127,2026-08-06,13551.06,271.02,48.78,13231.26,False,
SETT-BATCH0022-ORD00128,ORD00128,2026-08-06,45269.29,905.39,162.97,44200.93,False,
SETT-BATCH0022-ORD00129,ORD00129,2026-08-06,3434.89,68.7,12.37,3353.82,False,
SETT-BATCH0022-ORD00130,ORD00130,2026-08-06,1896.22,37.92,6.83,1851.47,False,
SETT-BATCH0022-ORD00131,ORD00131,2026-08-06,7880.46,157.61,28.37,7694.48,False,
SETT-BATCH0022-ORD00132,ORD00132,2026-08-06,1681.06,33.62,6.05,1641.39,False,
SETT-BATCH0023-ORD00133,ORD00133,2026-08-04,558.09,11.16,2.01,544.92,False,
SETT-BATCH0023-ORD00134,ORD00134,2026-08-04,1724.88,34.5,6.21,1684.17,False,
SETT-BATCH0023-ORD00135,ORD00135,2026-08-04,1730.8,34.62,6.23,1689.95,False,
SETT-BATCH0023-ORD00136,ORD00136,2026-08-04,535.5,10.71,1.93,522.86,False,
SETT-BATCH0023-ORD00137,ORD00137,2026-08-04,917.9,18.36,3.3,896.24,False,
SETT-BATCH0023-ORD00138,ORD00138,2026-08-04,31978.12,639.56,115.12,31223.44,False,
SETT-BATCH0024-ORD00139,ORD00139,2026-08-05,7436.14,148.72,26.77,7260.65,False,
SETT-BATCH0024-ORD00140,ORD00140,2026-08-05,9513.9,190.28,34.25,9289.37,False,
SETT-BATCH0024-ORD00141,ORD00141,2026-08-05,13918.23,278.36,50.1,13589.77,False,
SETT-BATCH0024-ORD00142,ORD00142,2026-08-05,31636.66,632.73,113.89,30890.04,False,
SETT-BATCH0024-ORD00143,ORD00143,2026-08-05,4765.5,95.31,17.16,4653.03,False,
SETT-BATCH0024-ORD00144,ORD00144,2026-08-05,1409.31,28.19,5.07,1376.05,False,
SETT-BATCH0025-ORD00145,ORD00145,2026-08-02,1849.26,36.99,6.66,1805.61,False,
SETT-BATCH0025-ORD00146,ORD00146,2026-08-02,1563.18,31.26,5.63,1526.29,False,
SETT-BATCH0025-ORD00147,ORD00147,2026-08-02,8452.09,169.04,30.43,8252.62,False,
SETT-BATCH0025-ORD00148,ORD00148,2026-08-02,7935.6,158.71,28.57,7748.32,False,
SETT-BATCH0025-ORD00149,ORD00149,2026-08-02,1146.95,22.94,4.13,1119.88,False,
SETT-BATCH0025-ORD00150,ORD00150,2026-08-02,4641.6,92.83,16.71,4532.06,False,
SETT-BATCH0026-ORD00151,ORD00151,2026-08-07,2997.0,59.94,10.79,2926.27,True,Risk Review
SETT-BATCH0026-ORD00152,ORD00152,2026-08-07,963.93,19.28,3.47,941.18,True,Risk Review
SETT-BATCH0026-ORD00153,ORD00153,2026-08-07,1545.81,30.92,5.57,1509.32,True,Risk Review
SETT-BATCH0026-ORD00154,ORD00154,2026-08-07,1130.67,22.61,4.07,1103.99,True,Risk Review
SETT-BATCH0026-ORD00155,ORD00155,2026-08-07,1622.2,32.44,5.84,1583.92,True,Risk Review
SETT-BATCH0026-ORD00156,ORD00156,2026-08-07,4407.6,88.15,15.87,4303.58,True,Risk Review
SETT-BATCH0027-ORD00157,ORD00157,2026-08-08,14558.12,291.16,52.41,14214.55,True,Risk Review
SETT-BATCH0027-ORD00158,ORD00158,2026-08-08,6639.88,132.8,23.9,6483.18,True,Risk Review
SETT-BATCH0027-ORD00159,ORD00159,2026-08-08,1162.68,23.25,4.18,1135.25,True,Risk Review
SETT-BATCH0027-ORD00160,ORD00160,2026-08-08,1209.78,24.2,4.36,1181.22,True,Risk Review
SETT-BATCH0027-ORD00161,ORD00161,2026-08-08,43399.04,867.98,156.24,42374.82,True,Risk Review
SETT-BATCH0027-ORD00162,ORD00162,2026-08-08,1273.18,25.46,4.58,1243.14,True,Risk Review
SETT-BATCH0028-ORD00163,ORD00163,2026-08-04,2747.1,54.94,9.89,2682.27,False,
SETT-BATCH0028-ORD00164,ORD00164,2026-08-04,20091.94,401.84,72.33,19617.77,False,
SETT-BATCH0028-ORD00165,ORD00165,2026-08-04,12210.31,244.21,43.96,11922.14,False,
SETT-BATCH0028-ORD00166,ORD00166,2026-08-04,1212.7,24.25,4.37,1184.08,False,
SETT-BATCH0028-ORD00167,ORD00167,2026-08-04,16831.24,336.62,60.59,16434.03,False,
SETT-BATCH0028-ORD00168,ORD00168,2026-08-04,3555.48,71.11,12.8,3471.57,False,
SETT-BATCH0029-ORD00169,ORD00169,2026-08-06,1099.48,21.99,3.96,1073.53,False,
SETT-BATCH0029-ORD00170,ORD00170,2026-08-06,2044.36,40.89,7.36,1996.11,False,
SETT-BATCH0029-ORD00171,ORD00171,2026-08-06,23281.98,465.64,83.82,22732.52,False,
SETT-BATCH0029-ORD00172,ORD00172,2026-08-06,3407.09,68.14,12.27,3326.68,False,
SETT-BATCH0029-ORD00173,ORD00173,2026-08-06,5716.4,114.33,20.58,5581.49,False,
SETT-BATCH0029-ORD00174,ORD00174,2026-08-06,1772.5,35.45,6.38,1730.67,False,
SETT-BATCH0030-ORD00175,ORD00175,2026-08-07,1196.96,23.94,4.31,1168.71,False,
SETT-BATCH0030-ORD00176,ORD00176,2026-08-07,39886.31,797.73,143.59,38944.99,False,
SETT-BATCH0030-ORD00177,ORD00177,2026-08-07,16638.6,332.77,59.9,16245.93,False,
SETT-BATCH0030-ORD00178,ORD00178,2026-08-07,6038.23,120.76,21.74,5895.73,False,
SETT-BATCH0030-ORD00179,ORD00179,2026-08-07,16688.7,333.77,60.08,16294.85,False,
SETT-BATCH0030-ORD00180,ORD00180,2026-08-07,5797.4,115.95,20.87,5660.58,False,
SETT-BATCH0031-ORD00181,ORD00181,2026-08-05,22597.94,451.96,81.35,22064.63,False,
SETT-BATCH0031-ORD00182,ORD00182,2026-08-05,17819.5,356.39,64.15,17398.96,False,
SETT-BATCH0031-ORD00183,ORD00183,2026-08-05,1159.81,23.2,4.18,1132.43,False,
SETT-BATCH0031-ORD00184,ORD00184,2026-08-05,907.57,18.15,3.27,886.15,False,
SETT-BATCH0031-ORD00185,ORD00185,2026-08-05,11208.66,224.17,40.35,10944.14,False,
SETT-BATCH0031-ORD00186,ORD00186,2026-08-05,1540.92,30.82,5.55,1504.55,False,
SETT-BATCH0032-ORD00187,ORD00187,2026-08-08,1122.3,22.45,4.04,1095.81,False,
SETT-BATCH0032-ORD00188,ORD00188,2026-08-08,5326.19,106.52,19.17,5200.5,False,
SETT-BATCH0032-ORD00189,ORD00189,2026-08-08,15842.15,316.84,57.03,15468.28,False,
SETT-BATCH0032-ORD00190,ORD00190,2026-08-08,7564.18,151.28,27.23,7385.67,False,
SETT-BATCH0032-ORD00191,ORD00191,2026-08-08,18635.36,372.71,67.09,18195.56,False,
SETT-BATCH0032-ORD00192,ORD00192,2026-08-08,1027.64,20.55,3.7,1003.39,False,
SETT-BATCH0033-ORD00193,ORD00193,2026-08-02,1837.46,36.75,6.61,1794.1,False,
SETT-BATCH0033-ORD00194,ORD00194,2026-08-02,7980.13,159.6,28.73,7791.8,False,
SETT-BATCH0033-ORD00195,ORD00195,2026-08-02,23467.17,469.34,84.48,22913.35,False,
SETT-BATCH0033-ORD00196,ORD00196,2026-08-02,1153.75,23.07,4.15,1126.53,False,
SETT-BATCH0033-ORD00197,ORD00197,2026-08-02,1503.31,30.07,5.41,1467.83,False,
SETT-BATCH0033-ORD00198,ORD00198,2026-08-02,3320.36,66.41,11.95,3242.0,False,
SETT-BATCH0034-ORD00199,ORD00199,2026-08-03,24710.83,494.22,88.96,24127.65,False,
SETT-BATCH0034-ORD00200,ORD00200,2026-08-03,1091.03,21.82,3.93,1065.28,False,
SETT-BATCH0034-ORD00201,ORD00201,2026-08-03,2671.58,53.43,9.62,2608.53,False,
SETT-BATCH0034-ORD00202,ORD00202,2026-08-03,1192.55,23.85,4.29,1164.41,False,
SETT-BATCH0034-ORD00203,ORD00203,2026-08-03,991.03,19.82,3.57,967.64,False,
SETT-BATCH0034-ORD00204,ORD00204,2026-08-03,1641.84,32.84,5.91,1603.09,False,
SETT-BATCH0035-ORD00205,ORD00205,2026-08-02,1926.81,38.54,6.94,1881.33,False,
SETT-BATCH0035-ORD00206,ORD00206,2026-08-02,622.86,12.46,2.24,608.16,False,
SETT-BATCH0035-ORD00207,ORD00207,2026-08-02,2416.68,48.33,8.7,2359.65,False,
SETT-BATCH0035-ORD00208,ORD00208,2026-08-02,1475.22,29.5,5.31,1440.41,False,
SETT-BATCH0035-ORD00209,ORD00209,2026-08-02,26006.45,520.13,93.62,25392.7,False,
SETT-BATCH0035-ORD00210,ORD00210,2026-08-02,12990.41,259.81,46.77,12683.83,False,
SETT-BATCH0036-ORD00211,ORD00211,2026-08-01,3908.36,78.17,14.07,3816.12,False,
SETT-BATCH0036-ORD00212,ORD00212,2026-08-01,6511.76,130.24,23.44,6358.08,False,
SETT-BATCH0036-ORD00213,ORD00213,2026-08-01,4049.95,81.0,14.58,3954.37,False,
SETT-BATCH0036-ORD00214,ORD00214,2026-08-01,1410.87,28.22,5.08,1377.57,False,
SETT-BATCH0036-ORD00215,ORD00215,2026-08-01,8222.34,164.45,29.6,8028.29,False,
SETT-BATCH0036-ORD00216,ORD00216,2026-08-01,27702.47,554.05,99.73,27048.69,False,
SETT-BATCH0037-ORD00217,ORD00217,2026-08-02,18636.95,372.74,67.09,18197.12,False,
SETT-BATCH0037-ORD00218,ORD00218,2026-08-02,34916.36,698.33,125.7,34092.33,False,
SETT-BATCH0037-ORD00219,ORD00219,2026-08-02,1388.15,27.76,5.0,1355.39,False,
SETT-BATCH0037-ORD00220,ORD00220,2026-08-02,2815.21,56.3,10.13,2748.78,False,
SETT-BATCH0037-ORD00221,ORD00221,2026-08-02,1526.39,30.53,5.5,1490.36,False,
SETT-BATCH0037-ORD00222,ORD00222,2026-08-02,1975.77,39.52,7.11,1929.14,False,
SETT-BATCH0038-ORD00223,ORD00223,2026-08-06,1299.12,25.98,4.68,1268.46,False,
SETT-BATCH0038-ORD00224,ORD00224,2026-08-06,1258.94,25.18,4.53,1229.23,False,
SETT-BATCH0038-ORD00225,ORD00225,2026-08-06,1130.09,22.6,4.07,1103.42,False,
SETT-BATCH0038-ORD00226,ORD00226,2026-08-06,1941.18,38.82,6.99,1895.37,False,
SETT-BATCH0038-ORD00227,ORD00227,2026-08-06,16896.09,337.92,60.83,16497.34,False,
SETT-BATCH0038-ORD00228,ORD00228,2026-08-06,7870.36,157.41,28.33,7684.62,False,
SETT-BATCH0039-ORD00229,ORD00229,2026-08-04,6927.3,138.55,24.94,6763.81,False,
SETT-BATCH0039-ORD00230,ORD00230,2026-08-04,5867.98,117.36,21.12,5729.5,False,
SETT-BATCH0039-ORD00231,ORD00231,2026-08-04,18887.12,377.74,67.99,18441.39,False,
SETT-BATCH0039-ORD00232,ORD00232,2026-08-04,22460.97,449.22,80.86,21930.89,False,
SETT-BATCH0039-ORD00233,ORD00233,2026-08-04,1176.2,23.52,4.23,1148.45,False,
SETT-BATCH0039-ORD00234,ORD00234,2026-08-04,6882.65,137.65,24.78,6720.22,False,
SETT-BATCH0040-ORD00235,ORD00235,2026-08-02,1241.46,24.83,4.47,1212.16,False,
SETT-BATCH0040-ORD00236,ORD00236,2026-08-02,818.18,16.36,2.94,798.88,False,
SETT-BATCH0040-ORD00237,ORD00237,2026-08-02,919.49,18.39,3.31,897.79,False,
SETT-BATCH0040-ORD00238,ORD00238,2026-08-02,4210.15,84.2,15.16,4110.79,False,
SETT-BATCH0040-ORD00239,ORD00239,2026-08-02,3528.45,70.57,12.7,3445.18,False,
SETT-BATCH0040-ORD00240,ORD00240,2026-08-02,5908.62,118.17,21.27,5769.18,False,
SETT-BATCH0041-ORD00241,ORD00241,2026-08-03,1214.14,24.28,4.37,1185.49,False,
SETT-BATCH0041-ORD00242,ORD00242,2026-08-03,8343.46,166.87,30.04,8146.55,False,
SETT-BATCH0041-ORD00243,ORD00243,2026-08-03,1106.6,22.13,3.98,1080.49,False,
SETT-BATCH0041-ORD00244,ORD00244,2026-08-03,1372.33,27.45,4.94,1339.94,False,
SETT-BATCH0041-ORD00245,ORD00245,2026-08-03,4750.06,95.0,17.1,4637.96,False,
SETT-BATCH0041-ORD00246,ORD00246,2026-08-03,4814.48,96.29,17.33,4700.86,False,
SETT-BATCH0042-ORD00247,ORD00247,2026-08-06,877.11,17.54,3.16,856.41,False,
SETT-BATCH0042-ORD00248,ORD00248,2026-08-06,4524.38,90.49,16.29,4417.6,False,
SETT-BATCH0042-ORD00249,ORD00249,2026-08-06,8097.52,161.95,29.15,7906.42,False,
SETT-BATCH0042-ORD00250,ORD00250,2026-08-06,1607.91,32.16,5.79,1569.96,False,
